komentar,kategori
bajingan memek kau diurus anjing,cyberbullying
bangsat perek murahan kampungan sadar diri woi,cyberbullying
bencong kok ngaku ngaku perempuan dasar kunyuk bangsat,cyberbullying
iri bilang babi,cyberbullying
kampret kok si bajingan makin sombong,cyberbullying
kontol kau jahannam tai,cyberbullying
mba pelakor makin kucel saja mirip monyet jelek,cyberbullying
memek kau bangsat tolol,cyberbullying
perek mana nih sudah gatal ini kontol bangsat,cyberbullying
si asu makin kayak asu dasar asu,cyberbullying
si babi giginya makin tonggos saja jijik,cyberbullying
syirik saja kau bangsat makanya jangan kampungan,cyberbullying
woi pelakor memang kau pelacur rendahan brengsek jahannam kau bangsat,cyberbullying
 ini lagu apaan dangdut apa lagu bocah,cyberbullying
 kalian tidak usah beli nanti kalian putih tapi kalian miskin,cyberbullying
ada ya manusia seperti dia padahal jelek banget gila,cyberbullying
ada yang bulat tapi bukan bakat,tidak cyberbullying
ada yang gede tapi bukan kepala apa kah itu,tidak cyberbullying
ada yang nonjol auto klik,tidak cyberbullying
adele yang punya kekayaan triliunan aja tidak norak,cyberbullying
adik aku langsung tidur dong dengar lagu ini,tidak cyberbullying
aduh geli lihatnya mirip babi,cyberbullying
aduh kayak pelacur saja kak,cyberbullying
aduh kekeyi kok mirip boneka santet ya,cyberbullying
ah banci diam kamu,cyberbullying
ah kamu bohong sahabat kamu minum itu masih gemuk juga,cyberbullying
ah kontol,cyberbullying
ah seram kaya sapi,cyberbullying
aku baru kali ini cari akun kamu karena aku kesal sama postingan gosip yang bilang kamu desain baju sendiri dan ternyata teman mu yang membongkar semua keburukan kamu yang kamu bilang desain baju sama ibu kamu dan setelah video kamu selesai tayang di youtube kamu malah jauhin teman teman yang sudah ngebantuin buat video kamu mereka susah payah buat ngebantuin tapi nilai pertemananmu begitu terus kamu tau apa tentang sahabat itu tau arti sahabat jadi tidak usah kalau di mana ngomong sahabat enek najis tau tidak kenapa si orang kayak gini harus jadi artis heran karya tidak ada yang bagus,cyberbullying
aku cari lagu pki ketemunya ini,cyberbullying
aku cari lagu pki yang muncul ini,cyberbullying
aku cari nih lagu aku tulisnya lagu pki muncul ini paling atas,cyberbullying
aku dengar lagu ini waktu boker alhamdulillah boker aku jadi lancar terima kasih,cyberbullying
aku dengarin lagu ini serasa di jahanam,cyberbullying
aku hujat kamu lama lama gila kamu,cyberbullying
aku ingin lihat tetek kamu,cyberbullying
aku itu ingin sekali kayak kak da kyung da kyung aku tidak mau ya mirip sama kamu awokwok,cyberbullying
aku jadi cowok yang dia pegang aku jijik sekali di pegang kekeyi maaf ya kalau aku ngomong gini,cyberbullying
aku jijik sama kamu mas aku jijik,cyberbullying
aku kalau nonton kimi tidak fokus ke permainan nya tapi fokus ke tete nya,cyberbullying
aku kesini gara gara cari lagu pki ada yang sama,cyberbullying
aku lagi ngemil langsung keselek bangsat serius tidak berbohong itu muka kayak shockbreaker karatan anjing maaf ya kekeyi cantik gemas,cyberbullying
aku lg nonton ini adik aku dengar langsung bilang sudah gede masih suka musik odong,cyberbullying
aku lihat kekeyi lama kelamaan muka nya mirip vexana terus badan nya mirip balmon dan satu lagi kakinya mirip balerick,cyberbullying
aku mau perkosa kamu,cyberbullying
aku mimpi buruk nih sahabat tiba bangun tidur terus lihat postingan mu ini langsung kaget banget,cyberbullying
aku nonton saja merinding saking geli nya aku bayangin itu mas mas yang di sebelah kekeyi jijik,cyberbullying
aku nyari lagu ini muncul pki,cyberbullying
aku nyari lagu pki malah muncul ini sih,cyberbullying
aku senang nonton kalau telanjang jadi sange njir,cyberbullying
aku suka body goyang nenek nenek nenek nek nek nek nek nek nek nek nyanyi sampai nangis,cyberbullying
aku tulis lagu pki di youtube malah ketemu kodok zuma ini nyata,cyberbullying
anda itu apa woi lucintaluna,tidak cyberbullying
apa mirip sama da kyung nyadar diri,tidak cyberbullying
 masyaallah cantik sekali,tidak cyberbullying
 pak semoga panjang umur biar  dipimpin oleh bapak negara ini,tidak cyberbullying
 sehat selalu mbak najwa,tidak cyberbullying
 selamat wisuda semoga ilmunya berkah kakakk kakakknya terharu,tidak cyberbullying
 suka aa aa memang jago podcastnya,tidak cyberbullying
 wah keren kak pilihan yang tepat ,tidak cyberbullying
aa bobo nya sm mba lala ya senang banget kalau aku yang jadi mba lala,tidak cyberbullying
aa nya gemes banget sehat selalu sultan andara  ,tidak cyberbullying
aa pintar bangat sangat terhibur ,tidak cyberbullying
aa rafathar  saudara aa rafathar pasti kaget senang banget didatengin sama idolanya yaitu mak beti ke rumah mahal mewah sultan andara sekalian mak beti diundang langsung sm aa rafathar untuk mengisi acara podcast yang ditayangkan di channel youtube rans entertainment,tidak cyberbullying
aa rafathar cinta dan gemes banget,tidak cyberbullying
aa rafathar gemasin ,tidak cyberbullying
aa rafathar memang terbaik deh,tidak cyberbullying
aa rafathar sepertinya senang podcast sama mak beti,tidak cyberbullying
aa rafathar sudah mulai berani nih semoga banyak yang nonton ya sekarang penonton rans sedikit kenapa ya,tidak cyberbullying
aa semakin lepas bicaranya mudahan makin terbiasa podcastnya,tidak cyberbullying
amin ya allah terima kasih pak atas doa nya ,tidak cyberbullying
amin bapak dan semoga bapak juga di berikan kesehatan dan di lindungi allah swt,tidak cyberbullying
amin pak selamat pagi pak,tidak cyberbullying
amin pak semoga bapak berserta keluarga besar akan sehat selalu dan kami rakyatmu pak akan selalu bersama bapak karena kami tahu hanya bapak yang bisa selamatkan negeri hijau kita ini,tidak cyberbullying
amin pakk semoga bapak sehat selalu juga,tidak cyberbullying
amin sehat dan sejahtera selalu pak,tidak cyberbullying
amin sehat selalu untuk bapak salam hormat pak  prabowo,tidak cyberbullying
amin sehat terus mas mentri,tidak cyberbullying
amin sehat terus ya pak prabowo,tidak cyberbullying
amin sukses selalu pak,tidak cyberbullying
amin ya allah salam dengan rasa hormat saya om jendral,tidak cyberbullying
amin ya allah sehat selalu bapak dan dalam lindungan allah swt,tidak cyberbullying
amin ya allah sehat selalu pak jaga kesehatan dan jaga selalu kedaulatan nkri ,tidak cyberbullying
amin yaa robbal ala amin sehat terus bapak,tidak cyberbullying
ada mas gemas,tidak cyberbullying
ada nama aku di belakang nama mak beti sukses selalu mak beti,tidak cyberbullying
ada nuansa baru mukbang ditengah badai ,tidak cyberbullying
ada perubahan biasanya ngomongnya sahabat ini pindah ke guys semangat,tidak cyberbullying
ada satu diantaranya dari sahabat saya menuliskan di statusnya setelah melihat pernyataan pak anies pemprov dki akan membiayai perbaikan tidak terima aku jika uang pajak dipakai untuk memperbaiki fasilitas umum yang dirusak pendemo disitu saya ngelus dada btw saya bangga sama pak anies dan tim ,tidak cyberbullying
ada suara kayak angin apa nafas kekeyi yang nyembur ganggu sekali,tidak cyberbullying
ada videonya ngga kakak lucintaluna,tidak cyberbullying
ada walau bukan yang pertama rans terbaik,tidak cyberbullying
ada yang mantul tapi bukan bola,tidak cyberbullying
ada yang ngitungi berapa kali ngomong nah sudah lebih suka sama gosok nih bukan pentol lagi,tidak cyberbullying
ada yang nyadar tidak kekeyi jarang di endorse sama brand make up,tidak cyberbullying
ada yang silau tapi bukan matahari,tidak cyberbullying
ada yang tahu nama penari cewek berbaju biru itu,tidak cyberbullying
ada yang tahu umur kekeyi,tidak cyberbullying
adik aku suka dong,tidak cyberbullying
adikku dengar lagu ini langsung tidur suaranya lembut sama musiknya enak di dengar terngiang ngiang ku suka,tidak cyberbullying
adem kalau dengar ucapan dan lihat profilnya semoga dalam lindungan allah swt amin,tidak cyberbullying
ademnya tiap bapak berbicara,tidak cyberbullying
adi mirip banget mancungnya,tidak cyberbullying
adik gw juga wisuda ldr,tidak cyberbullying
aduh bapak dengan gagah nya sehat selalu ya pak ,tidak cyberbullying
aduh bening sekali mba,tidak cyberbullying
aduh gagal fokus sama sepatunya,tidak cyberbullying
aduh jadi meleleh banget nengok yang beginian inspiratif banget mbak nana,tidak cyberbullying
